Combination,Fold,Epoch,Train Loss,Validation Loss,Hidden Dimension,Number of Layers,Initial Learning Rate,Model
0,0,0,0.9321912035079937,0.8968698024749756,0,0,0.7,GLM
0,0,1,0.5767551459372043,0.5524292264133692,0,0,0.7,GLM
0,0,2,0.5388641521334648,0.5454994298517704,0,0,0.7,GLM
0,0,3,0.5356178611516953,0.5431272432208061,0,0,0.7,GLM
0,1,0,0.7460547801373261,0.7432718873023987,0,0,0.7,GLM
0,1,1,0.5797746762633323,0.5324600704014302,0,0,0.7,GLM
0,1,2,0.5469915702939033,0.5237488608807326,0,0,0.7,GLM
0,1,3,0.5431459575891495,0.5233537450432777,0,0,0.7,GLM
0,1,4,0.5420008085668087,0.5205025345087051,0,0,0.7,GLM
0,2,0,0.7019060237466224,0.6891409091651439,0,0,0.7,GLM
0,2,1,0.5716005057096482,0.5380091693252325,0,0,0.7,GLM
0,2,2,0.5434350810945034,0.5333866629749536,0,0,0.7,GLM
0,2,3,0.5399176642298699,0.5319671045988799,0,0,0.7,GLM
0,2,4,0.538499940186739,0.5290851090103388,0,0,0.7,GLM
0,3,0,0.6702145086335285,0.671533576399088,0,0,0.7,GLM
0,3,1,0.5628203086555004,0.5531661756336689,0,0,0.7,GLM
0,3,2,0.5385492235422135,0.5488041833043098,0,0,0.7,GLM
0,3,3,0.534610177576542,0.5480103261768818,0,0,0.7,GLM
0,4,0,0.8400998970493674,0.8668161913752556,0,0,0.7,GLM
0,4,1,0.5720285981893539,0.547672662883997,0,0,0.7,GLM
0,4,2,0.5399034775793552,0.5427203945815563,0,0,0.7,GLM
0,4,3,0.5364321492612362,0.5418329361826182,0,0,0.7,GLM
0,4,4,0.5353818520903587,0.5406478054821491,0,0,0.7,GLM
0,5,0,0.7220345245674252,0.7296800583600997,0,0,0.7,GLM
0,5,1,0.5693146914243699,0.5454965576529502,0,0,0.7,GLM
0,5,2,0.541472713649273,0.5388591177761555,0,0,0.7,GLM
0,5,3,0.5381425395607948,0.5377081580460071,0,0,0.7,GLM
0,5,4,0.536975198239088,0.5370486941188574,0,0,0.7,GLM
0,5,5,0.5360080733895302,0.5364808507263661,0,0,0.7,GLM
0,5,6,0.5361313410103321,0.5355331216007471,0,0,0.7,GLM
0,5,7,0.5360043205320835,0.534153101593256,0,0,0.7,GLM
0,6,0,0.6110441115684807,0.6046627782285213,0,0,0.7,GLM
0,6,1,0.5622891008853912,0.5371785022318363,0,0,0.7,GLM
0,6,2,0.544161869585514,0.5309504445642232,0,0,0.7,GLM
0,6,3,0.5408020421862603,0.5288006622344256,0,0,0.7,GLM
0,6,4,0.5396843887865543,0.5280637759715319,0,0,0.7,GLM
0,6,5,0.5390130192041397,0.5272940501570702,0,0,0.7,GLM
0,7,0,0.8080617614090443,0.8133754648268223,0,0,0.7,GLM
0,7,1,0.5646848559379578,0.5521321270614863,0,0,0.7,GLM
0,7,2,0.537520094960928,0.5484422240406275,0,0,0.7,GLM
0,7,3,0.5345739677548409,0.5477700799703598,0,0,0.7,GLM
0,7,4,0.5336157396435738,0.5467991396784783,0,0,0.7,GLM
0,7,5,0.5331137493252754,0.5466545842587948,0,0,0.7,GLM
0,7,6,0.5327011711895466,0.5463778756558895,0,0,0.7,GLM
0,7,7,0.5324354447424412,0.5461290724575519,0,0,0.7,GLM
0,8,0,0.8621751423925161,0.8768346883356571,0,0,0.7,GLM
0,8,1,0.5759247899055481,0.5395830180495977,0,0,0.7,GLM
0,8,2,0.5422045730054379,0.5336028806865215,0,0,0.7,GLM
0,8,3,0.539087014645338,0.5316899370402097,0,0,0.7,GLM
0,8,4,0.5377494238317013,0.530910337716341,0,0,0.7,GLM
0,8,5,0.5371064499020577,0.5303981803357601,0,0,0.7,GLM
0,9,0,0.7106478840112687,0.7089111730456352,0,0,0.7,GLM
0,9,1,0.5680469453334809,0.5442745435982943,0,0,0.7,GLM
0,9,2,0.5419620178639889,0.5393504660576582,0,0,0.7,GLM
0,9,3,0.5385163739323616,0.5379843935370445,0,0,0.7,GLM
0,9,4,0.5370577402412892,0.5367375209927558,0,0,0.7,GLM
0,9,5,0.5363544017076493,0.5364326357841491,0,0,0.7,GLM
0,9,6,0.5359469711780548,0.5361957423388958,0,0,0.7,GLM
1,0,0,0.698571990536792,0.7044454663991928,1,1,0.7,MLP
1,0,1,0.6886689722537994,0.6900328487157822,1,1,0.7,MLP
1,0,2,0.6800186678767204,0.6347303412854671,1,1,0.7,MLP
1,0,3,0.6290036395192147,0.5739466175436974,1,1,0.7,MLP
1,0,4,0.6242772385478019,0.5668851774185896,1,1,0.7,MLP
1,1,0,0.7122353792456643,0.71843077018857,1,1,0.7,MLP
1,1,1,0.6904977858066559,0.6898024193942547,1,1,0.7,MLP
1,2,0,0.6879177468695811,0.6870829232037068,1,1,0.7,MLP
1,2,1,0.6691531360149383,0.6418141834437847,1,1,0.7,MLP
1,2,2,0.6602518439292908,0.635010614991188,1,1,0.7,MLP
1,2,3,0.6573879376053811,0.6347806803882122,1,1,0.7,MLP
1,2,4,0.6552622422575951,0.6292879045009613,1,1,0.7,MLP
1,2,5,0.6532147243618965,0.620931351184845,1,1,0.7,MLP
1,3,0,0.7031673548210944,0.7102462612092495,1,1,0.7,MLP
1,3,1,0.6647062286734581,0.6422437839210033,1,1,0.7,MLP
1,3,2,0.6548810184001923,0.6300588093698025,1,1,0.7,MLP
1,3,3,0.6530881196260452,0.6247133016586304,1,1,0.7,MLP
1,4,0,0.7004436787217856,0.6875276766717434,1,1,0.7,MLP
1,4,1,0.6605803608894348,0.6329818651080131,1,1,0.7,MLP
1,4,2,0.6558713048696518,0.6281292922794819,1,1,0.7,MLP
1,4,3,0.6537442207336426,0.6275432743132114,1,1,0.7,MLP
1,4,4,0.652091971039772,0.6249160565435886,1,1,0.7,MLP
1,4,5,0.6514189332723618,0.6189310647547245,1,1,0.7,MLP
1,4,6,0.6497532457113266,0.6186649084091187,1,1,0.7,MLP
1,5,0,0.7960933767259121,0.8103540055453777,1,1,0.7,MLP
1,5,1,0.6949113622307778,0.6882464095950127,1,1,0.7,MLP
1,5,2,0.6886960163712501,0.6880844354629516,1,1,0.7,MLP
1,6,0,0.6686644315719604,0.6666729532182216,1,1,0.7,MLP
1,6,1,0.638547594845295,0.575169001147151,1,1,0.7,MLP
1,6,2,0.6266160517930984,0.5685301005840302,1,1,0.7,MLP
1,6,3,0.6256114080548286,0.5629144936800003,1,1,0.7,MLP
1,7,0,0.7178734792396426,0.7154589131474495,1,1,0.7,MLP
1,7,1,0.6859487667679787,0.6655205629765988,1,1,0.7,MLP
1,7,2,0.6542251259088516,0.6037115070968866,1,1,0.7,MLP
1,7,3,0.6327589616179466,0.5721710409969092,1,1,0.7,MLP
1,7,4,0.6261108741164207,0.5704057168215513,1,1,0.7,MLP
1,7,5,0.6257382526993751,0.5657918747514487,1,1,0.7,MLP
1,7,6,0.6249090880155563,0.5643724612891674,1,1,0.7,MLP
1,8,0,0.6767854958772659,0.6826806761324405,1,1,0.7,MLP
1,8,1,0.6382196605205536,0.5819654632359743,1,1,0.7,MLP
1,8,2,0.6251438975334167,0.5750718884170055,1,1,0.7,MLP
1,8,3,0.6233693078160286,0.5703196637332439,1,1,0.7,MLP
1,9,0,0.7030383436009288,0.7017090514302253,1,1,0.7,MLP
1,9,1,0.6680977940559387,0.6414611630141736,1,1,0.7,MLP
