Combination,Fold,Epoch,Train Loss,Validation Loss,Hidden Dimension,Number of Layers,Initial Learning Rate,Model
0,0,0,0.986645055961396,0.9920253254473209,0,0,0.7,GLM
0,0,1,0.4322859480977058,0.34831380462273953,0,0,0.7,GLM
0,0,2,0.36560874842107294,0.3453024127520621,0,0,0.7,GLM
0,1,0,0.789307639614812,0.7801460415124893,0,0,0.7,GLM
0,1,1,0.4283657673746347,0.3301265224814415,0,0,0.7,GLM
0,1,2,0.37378668002784254,0.32144532511010765,0,0,0.7,GLM
0,1,3,0.3713275741785765,0.31977726947516205,0,0,0.7,GLM
0,2,0,0.897130212560296,0.89917923361063,0,0,0.7,GLM
0,2,1,0.42821414992213247,0.3667034336365759,0,0,0.7,GLM
0,2,2,0.3598972737789154,0.36348425364121795,0,0,0.7,GLM
0,3,0,0.6172278246443186,0.6364448092877865,0,0,0.7,GLM
0,3,1,0.37812037020921707,0.4371087638661265,0,0,0.7,GLM
0,4,0,0.6733398763462901,0.6821883819997311,0,0,0.7,GLM
0,4,1,0.39881516471505163,0.3614557909779251,0,0,0.7,GLM
0,5,0,0.5939665325917304,0.6012030676007271,0,0,0.7,GLM
0,5,1,0.37748859971761706,0.44191409992054104,0,0,0.7,GLM
0,6,0,0.8538965876214206,0.8624723821878433,0,0,0.7,GLM
0,6,1,0.42535968087613585,0.36397341955453155,0,0,0.7,GLM
0,6,2,0.36241580806672574,0.36064459532499316,0,0,0.7,GLM
0,6,3,0.3606784913688898,0.3592231131158769,0,0,0.7,GLM
0,7,0,0.8917439714074135,0.8929366566240787,0,0,0.7,GLM
0,7,1,0.4232958421111107,0.33004745449870826,0,0,0.7,GLM
0,7,2,0.3688284497708082,0.3246616146527231,0,0,0.7,GLM
0,8,0,0.7946102390065789,0.7995021946728229,0,0,0.7,GLM
0,8,1,0.42714367508888246,0.3199402799829841,0,0,0.7,GLM
0,8,2,0.37181488014757635,0.3090212183073163,0,0,0.7,GLM
0,9,0,0.688178613781929,0.6943350084125995,0,0,0.7,GLM
0,9,1,0.39501424729824064,0.387884374987334,0,0,0.7,GLM
